            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460357.299690972, A.D. 2024-Feb-16 19:11:33.3000, -2.851327205234854E+05, -8.792405836558856E+04, -2.705738474799609E+04,  2.423400627871541E-01,  3.381383059994831E-01,  4.801334938795750E-02,  9.993761235771190E-01,  2.996054245536962E+05, -3.342018568697773E-01,
2460357.306784722, A.D. 2024-Feb-16 19:21:46.2000, -2.849835181005620E+05, -8.771742487550003E+04, -2.702790826039974E+04,  2.445323751946077E-01,  3.361461675333465E-01,  4.817337403521381E-02,  9.986914583040719E-01,  2.994001670685822E+05, -3.355896534327640E-01,
2460357.313878472, A.D. 2024-Feb-16 19:31:59.1000, -2.848329741906955E+05, -8.751200646799024E+04, -2.699833408861988E+04,  2.467175761691146E-01,  3.341732449209078E-01,  4.833211334306238E-02,  9.980039533653233E-01,  2.991940582731076E+05, -3.369798160481162E-01,
2460357.320972222, A.D. 2024-Feb-16 19:42:12.0000, -2.846810931401819E+05, -8.730779142770666E+04, -2.696866301425435E+04,  2.488957059671127E-01,  3.322193363841221E-01,  4.848958748854806E-02,  9.973136040180510E-01,  2.989870967454102E+05, -3.383722529427949E-01,
2460357.328065972, A.D. 2024-Feb-16 19:52:24.9000, -2.845278792707042E+05, -8.710476816190722E+04, -2.693889580663617E+04,  2.510668043660982E-01,  3.302842431746704E-01,  4.864581626570917E-02,  9.966204057047966E-01,  2.987792811191982E+05, -3.397668741499196E-01,
2460357.335159722, A.D. 2024-Feb-16 20:02:37.8000, -2.843733368797413E+05, -8.690292519878320E+04, -2.690903322308854E+04,  2.532309106705436E-01,  3.283677695151119E-01,  4.880081909417400E-02,  9.959243540503504E-01,  2.985706100828169E+05, -3.411635914680490E-01,
2460357.342253472, A.D. 2024-Feb-16 20:12:50.7000, -2.842174702407947E+05, -8.670225118558045E+04, -2.687907600913953E+04,  2.553880637202207E-01,  3.264697225392584E-01,  4.895461502769932E-02,  9.952254448579128E-01,  2.983610823780970E+05, -3.425623184231095E-01,
2460357.349347222, A.D. 2024-Feb-16 20:23:03.6000, -2.840602836037934E+05, -8.650273488699101E+04, -2.684902489876692E+04,  2.575383018958606E-01,  3.245899122362429E-01,  4.910722276229364E-02,  9.945236741061472E-01,  2.981506967994728E+05, -3.439629702296787E-01,
2460357.356440972, A.D. 2024-Feb-16 20:33:16.5000, -2.839017811951900E+05, -8.630436518319126E+04, -2.681888061457868E+04,  2.596816631288725E-01,  3.227281513923217E-01,  4.925866064441226E-02,  9.938190379449556E-01,  2.979394521927135E+05, -3.453654637559558E-01,
2460357.363534722, A.D. 2024-Feb-16 20:43:29.4000, -2.837419672183554E+05, -8.610713106830270E+04, -2.678864386804838E+04,  2.618181849067335E-01,  3.208842555377445E-01,  4.940894667863398E-02,  9.931115326926759E-01,  2.977273474540847E+05, -3.467697174869377E-01,
2460357.370628472, A.D. 2024-Feb-16 20:53:42.3000, -2.835808458537862E+05, -8.591102164865537E+04, -2.675831535970891E+04,  2.639479042807581E-01,  3.190580428927472E-01,  4.955809853530689E-02,  9.924011548325448E-01,  2.975143815292871E+05, -3.481756514901321E-01,
2460357.377722222, A.D. 2024-Feb-16 21:03:55.2000, -2.834184212594964E+05, -8.571602614130985E+04, -2.672789577937894E+04,  2.660708578712531E-01,  3.172493343169626E-01,  4.970613355781872E-02,  9.916879010100520E-01,  2.973005534126642E+05, -3.495831873804994E-01,
2460357.384815972, A.D. 2024-Feb-16 21:14:08.1000, -2.832546975710890E+05, -8.552213387223196E+04, -2.669738580632421E+04,  2.681870818766906E-01,  3.154579532565197E-01,  4.985306876996039E-02,  9.909717680289829E-01,  2.970858621460146E+05, -3.509922482889815E-01,
2460357.391909722, A.D. 2024-Feb-16 21:24:21.0000, -2.830896789021399E+05, -8.532933427487800E+04, -2.666678610947469E+04,  2.702966120786103E-01,  3.136837256958761E-01,  4.999892088281797E-02,  9.902527528489091E-01,  2.968703068178410E+05, -3.524027588291025E-01,
